[2024-01-03 11:59:43,136: INFO: main: Welcome to your custom log]
[2024-01-03 19:52:36,784: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-03 19:52:36,803: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-03 19:55:58,097: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-03 19:55:58,100: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-03 19:57:06,928: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-03 19:57:06,929: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-03 19:57:06,931: INFO: common: created directory at: artifacts]
[2024-01-03 19:57:06,934: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-03 19:57:06,936: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1irC6CPtyyBNsoNdnolT7gm08jBbeb0ou/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-03 20:06:51,446: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1irC6CPtyyBNsoNdnolT7gm08jBbeb0ou/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-03 21:20:50,762: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-01-03 21:20:50,764: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-03 21:20:50,764: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-03 21:20:50,765: INFO: common: created directory at: artifacts]
[2024-01-03 21:20:50,765: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-03 21:20:50,766: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1irC6CPtyyBNsoNdnolT7gm08jBbeb0ou/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-03 21:23:26,612: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-01-03 21:23:26,614: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-01-03 21:23:26,614: INFO: common: yaml file: params.yaml loaded successfully]
[2024-01-03 21:23:26,615: INFO: common: created directory at: artifacts]
[2024-01-03 21:23:26,616: INFO: common: created directory at: artifacts/data_ingestion]
[2024-01-03 21:23:26,616: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1irC6CPtyyBNsoNdnolT7gm08jBbeb0ou/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-03 21:32:09,818: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1irC6CPtyyBNsoNdnolT7gm08jBbeb0ou/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-01-03 21:34:58,839: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
